Name	Ratio	Tags
Milk inside a bag of milk inside a bag of milk	94.62%	10001100000001010000000010
The Case of the Golden Idol	94.60%	00001100011011010100000000
West of Loathing	94.55%	10001100110010010000000000
Gravitas	94.54%	11001100000110000010001000
Duck Game	94.53%	10110000010001000000100001
Super Hexagon	94.53%	10111000010010001000000100
SuchArt: Creative Space	94.53%	10011110000100010010101000
Aventura Copilului Albastru ?i Ur&acirc;t	94.53%	00000000010000000000000010
The Forest	94.51%	10101110001000000100011000
"Hot Dogs, Horseshoes &amp; Hand Grenades"	94.50%	10101010001000000000011001
The Test: Final Revelation	94.49%	00001010101000000000000010
Lil Gator Game	94.45%	10011100100100001001000000
Left 4 Dead	94.44%	00101100001000000000101001
Return of the Obra Dinn	94.44%	10001100001010010000001000
Mark of the Ninja	94.44%	10111101011010010000000000
Psychonauts 2	94.44%	00101100000000011000000100
Fran Bow	94.42%	10001100011010110000000000
Milk outside a bag of milk outside a bag of milk	94.41%	10011000010001010000000010
The Test: Hypothesis Rising	94.41%	00011110101000010000000010
Patrick's Parabox	94.40%	10000000000000000000000000
Beat Saber	94.39%	10111000000000000000111010
Enter the Gungeon	94.38%	10101000010001000001100001
MADNESS: Project Nexus	94.37%	00100000001100000000000001
Ib	94.37%	10001100011011000001000010
????? - Train No. 7	94.36%	01000000010000000000000010
Doki Doki Literature Club Plus!	94.35%	10011000010000010001000010
Stacklands	94.35%	10011011010000101001000000
NEKOPARA Vol. 2	94.34%	10001100011000010001000010
It Takes Two	94.32%	00100100001010010100100000
NEKOPARA Vol. 3	94.31%	10011100011000010001000010
The Supper	94.29%	11010100010011000010100000
Resident Evil Village	94.28%	00101100001000010000101000
Portal Reloaded	94.28%	00101100001010000010101000
Maitetsu:Last Run!!	94.28%	00011100000000010001000010
Ultimate Chicken Horse	94.27%	10110000010000000001100000
Age of Empires II (2013)	94.26%	00101101010000000000100000
Metal: Hellsinger	94.26%	00101100001100100000001001
NEKOPARA Vol. 4	94.26%	10011100010000011001001010
Saints Row: The Third	94.25%	00101100100000000000100001
Cube Escape: Paradox	94.22%	10001100011010010010100000
Post Void	94.20%	00101000000001001000001101
METAL GEAR RISING: REVENGEANCE	94.19%	00101100000000010000000000
Wobbly Life	94.19%	10110110000000000001110000
Aokana - Four Rhythms Across the Blue	94.19%	00011100000000010001000010
Shadow Tactics: Blades of the Shogun	94.18%	10101101001010000000000000
?????????	94.18%	00000000000000000001000010
Dying Light	94.16%	00100000100000010000001000
Samsara Room	94.15%	10001100011010010010100000
The Last Campfire	94.15%	10001100001110110001000000
Purrgatory	94.14%	11011100010001010011000000
FTL: Faster Than Light	94.12%	10001111111001000000000000
Danganronpa 2: Goodbye Despair	94.12%	00001100001010010000000010
Supreme Commander: Forged Alliance	94.11%	00101101000000000000100000
DOOM	94.10%	00101000001000000000101001
HuniePop	94.09%	10011001110010010001000010
Monster Prom 3: Monster Roadtrip	94.08%	10000010010000010000100000
A Building Full of Cats	94.07%	00011100000010001101000000
Rabi-Ribi	94.06%	10101100010001101101000010
Cruelty Squad	94.06%	00100010000000000000001001
Marco &amp; The Galaxy Dragon	94.06%	00011110010000010001000010
Monster Prom 2: Monster Camp	94.05%	10011010010000110000100000
planetarian HD	94.05%	00011110000000010001000010
Danganronpa: Trigger Happy Havoc	94.04%	00101100000010010100000010
Summer Pockets	94.04%	00011110000000010000000010
Valheim	94.03%	10101100100000000100110000
The Walking Dead: Season Two	94.03%	00101100001000010000000000
Zup! F	94.03%	10011000011010000001000000
Black Mesa	94.02%	10101100001000010000111001
Alpaca Stacka	94.01%	11011100000000001111000000
Half-Life 2: VR Mod	94.00%	00101100001010010010010000
Ori and the Blind Forest: Definitive Edition	93.99%	10101100111010110001000000
SOMA	93.98%	10101100001010010100001000
The Planet Crafter	93.98%	00001100001000000100011000
