Name	Ratio	Tags
100 hidden mushrooms	84.71%	11011100010010100101000000
The Tale of a Common Man	84.71%	10010101100000100100000010
That Flipping Mountain	84.71%	00111110010000000000000000
Tiny Combat Arena	84.70%	00001010000101001000010000
Who Is The Red Queen?	84.70%	01011000010000110000001010
Football Manager 2023	84.69%	00001011010100100000100000
The Fall	84.69%	10101100011010010000000000
Ancient Enemy	84.69%	00010101100000110100000000
Quell Zen	84.69%	10010000000010000000000000
Para Eyes	84.69%	10011000001010000010010000
Quadrata	84.69%	11011000011010001001000000
Foundation	84.68%	10001011001000000000010000
Puzzle Agent	84.68%	00111100011010010000000000
Lost: Find	84.68%	10011000000010010000000011
After the Inferno	84.68%	01001100000000110010000000
Jigsaw Puzzle Dreams	84.68%	10011010001110000010100000
BEKKOUAME	84.68%	10100100000000000010000000
GemCraft - Frostborn Wrath	84.67%	10101001010000100000000000
Journey of a Roach	84.67%	10011100000010000001000000
Slavistan	84.67%	10111010110001000100000010
6180 the moon	84.67%	10111000011000000000000000
Sono	84.67%	11011100001000000110000000
RUKIMIN's Disappointing Adventure!	84.67%	10000000000000000000000000
Skulls of the Shogun	84.66%	10001001010000000000100000
Break Arcade Games Out	84.66%	11110000000000000010000100
Righty Tighty XL	84.66%	10111000010000000000000100
Airranger	84.66%	10110010000000000000000000
The Jackbox Party Starter	84.66%	10011000010000001000100000
Let's Cook Together	84.66%	10000000000000000000000000
NeverAwake	84.66%	10101000000000010001000101
?????????? Food Girls?Civil War	84.66%	00000000000000000001000010
Alekon	84.66%	10001100001010101001001000
Eufloria HD	84.65%	10011001011000000000000000
Love of Magic	84.65%	00001100110000010000000000
Canvas The Gallery	84.65%	10011010000000000010000000
Dead Grid	84.65%	10001001110000000000010000
The Penguin IQ Test	84.65%	11001101010010000000000000
Sentimental Trickster: Yaoi BL Gay Visual Novel	84.65%	00011000010000011001000010
TAPE: Unveil the Memories	84.65%	11000100001000010000000000
Survivalist: Invisible Strain	84.64%	10100111100000000000010000
MotoGP&trade;19	84.64%	00000010000000000000100000
New York Mysteries: Secrets of the Mafia	84.64%	00011100000000000000000000
Graveyard Keeper	84.63%	11011111110101110000000000
Dawn of Man	84.63%	10001011000000010000100000
Underrail	84.63%	10001100111001000100000000
Princess &amp; Conquest	84.63%	10100100100001100001010010
Dark Bestiary	84.63%	10001001110000100000000000
Mission: It's Complicated	84.63%	10000000000000000000000000
Kitty Ball	84.63%	11010000011000001001100100
Nation Red	84.62%	10101000000000000000100101
Growing Up	84.62%	00011011110000010001000000
Pickle Clicker	84.62%	11011000010000000010010000
Pawnbarian	84.62%	00000001010010000000000000
Methods: The Detective Competition	84.62%	10001100000000000000000010
Project Cappuccino	84.62%	00001100010000110001000010
Atomic Heart	84.61%	00101000101010000100001001
Eternal Hour: Golden Hour	84.61%	10011100010000010011000010
Farming Simulator 2011	84.61%	00001010000000000000100000
Gunvolt Chronicles: Luminous Avenger iX	84.61%	10101000010001000000000010
Resonance	84.61%	11001100011111010100001000
Planet Alcatraz 2	84.61%	00000100101000000000000000
Exodus Borealis	84.61%	10001001000100100000010000
Monster Girls and the Mysterious Adventure 2	84.61%	10001011101100100001000010
Tyranny	84.60%	00101101101000110000000000
Divine Divinity	84.60%	00101100111000110100000000
What if George Washington was a Girl?	84.60%	11011100010000001010000010
Pepper's Puzzles	84.60%	10000000000000000000000000
GLAD VALAKAS TOWER DEFENCE 2	84.60%	11111000010000000000000100
The Final Earth 2	84.60%	10001011010001000000000000
HimeYoku: A Sacrifice of Lust and Grace	84.60%	00001100011000011001000000
Minotaur Arcade Volume 1	84.60%	00100000000000000000000100
Klang 2	84.60%	11101000001000111000000110
??????? Cute Chaos Demon Nyanbaba	84.60%	01000000000000000001000010
????You draw I puzzle	84.60%	01000000000000000000000000
Confabulation	84.60%	11001100001110000100001000
TET	84.60%	11011000010000001000001000
Without Within	84.59%	10001000000000010011000010
The friends of Ringo Ishikawa	84.59%	00101100111001010100000010
AI War 2	84.59%	00001011001000000000100000
Hentai Aim Trainer	84.59%	11111110000100000000011011
Poker Night 2	84.58%	00011011001000000000000000
Tentacle Girl	84.58%	00010101100010000000000010
The Defender: Farm and Castle	84.58%	11101001010000000010000001
No Plan B	84.58%	10101011000000000000010000
Transiruby	84.58%	00101000011001100001000000
Ryse: Son of Rome	84.57%	00101100101000100000100000
A Game About	84.57%	11010000010000000010000000
100 hidden mice	84.57%	11011100010010000101000000
The Last Birdling	84.57%	10000000000000010000000010
NIGHT/SHADE: You're The Drug	84.57%	10000000000000000000000000
Five Stages of Pink	84.57%	11011100010000010001000010
The Bridge	84.56%	10011101011010000000000000
Unreal Gold	84.56%	00101100001000000000101001
Secret Pie	84.56%	10011110011000000001000000
Grim Nights	84.56%	00001001010001100000000000
One Thousand Lies	84.56%	10011010000000010010000010
Odd Realm	84.56%	10001011011001000000010000
Viscerafest	84.56%	00101000000001000100011101
Tennis Elbow 4	84.56%	10001010000100000000110000
Basketball Classics	84.56%	10011000000000000000010100
Rum &amp; Gun	84.56%	10101100100000100000010000
Frincess&amp;Cnight	84.56%	11111100010011000000000000
Outdoor Adventures With Marisa Kirisame	84.56%	01011000001000001001000010
UBERMOSH:OMEGA	84.55%	11101000010001000000000100
Superbugs: Awaken	84.55%	10100101000110000000101000
Gloomhaven	84.54%	00001101100100000000110000
Heroes of Might &amp; Magic V	84.54%	00001101101000110000100000
Blazing Chrome	84.54%	10101000010001000000000101
Nexomon	84.54%	10011110110000000001000010
Hentai Mosaique Puzzle	84.54%	10010010100010000000000010
Race for the Galaxy	84.54%	00000001000000000000000000
Witch Hunt	84.53%	10101100001000000100001001
Girl and Goblin	84.53%	00010101100010000000000010
Sunday Rivals	84.53%	10101010000100001000110100
Ord.	84.53%	10011101101000110000000000
Tower Escape	84.53%	10011001010011100001000000
Pocket Kingdom	84.53%	10000100010011000000000000
Super Alloy Ranger	84.53%	10101100000001000000000000
Stonekeep	84.53%	00100100100000100000001000
First Winter	84.53%	10000000001000000000000000
Godless Tactics	84.53%	00001101010000000000000000
Time Up	84.53%	10111100010000000000000000
Ashina: The Red Witch	84.53%	00010100011011010100000010
Good Knight	84.53%	01010000000000000000010100
Eggcelerate!	84.53%	11011000000100001001000000
Gravity Snake	84.53%	01011000010010000000000000
Ruza	84.53%	01001000110000010000000000
Fun with Ragdolls: The Game	84.52%	10101110000100001000100000
Battle Realms: Zen Edition	84.52%	00100001000000100000110000
Aperture Hand Lab	84.52%	00001100000000000010001000
Disgaea PC	84.51%	00001001110001010001000010
Startopia	84.51%	00001011000100000000100000
Headliner: NoviNews	84.51%	10001110011000010000000000
Archaica: The Path of Light	84.51%	10011100001010111000000000
Karisvale	84.51%	11000100111001010110000000
Sable's Grimoire: Man And Elf	84.51%	10000000000000000000000000
TWWWR	84.51%	01101100011001001101000000
Hop Step Sing! VR Live ?Hop?Summer Tour 2020?	84.51%	00000000000100000001000010
Retro City Rampage&trade; DX	84.50%	10101100010001000000000001
"About Love, Hate and the other ones"	84.50%	10011000000010000000000000
Delta Force	84.50%	00100000000000000000001001
Knight Squad 2	84.50%	00100000000000100000100100
iB Cricket	84.50%	10111011000100000010110000
SUKEBE BLOCKS	84.50%	11011000000011000001000010
Hell Let Loose	84.49%	10101011000000000000101001
Five Dates	84.49%	00001100000000010000000000
Heaven's Vault	84.49%	10000000000000000000000000
Megabyte Punch	84.49%	00101100000000000000000000
Obama	84.49%	01001100001100101100100000
Trouble Witches Origin - Episode1 Daughters of Amalgam -	84.49%	10100000010000000001000110
Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch	84.49%	00011100000000010000000000
BACK OF SPACE	84.49%	01100000001000000000010100
Catch Me If You Can	84.49%	01110001000100000010101100
Castle on the Coast	84.49%	00100100000100001001000000
Arrow Sudoku	84.49%	10011001010010000000000000
Football Manager 2019	84.48%	00011011000000000010100000
Rubber Bandits	84.48%	00110000000000000001100000
Hentai Memory	84.48%	10011000000010000000000010
Crumble	84.48%	10111100000000000101100000
Suite 776	84.48%	10100100000000000000001000
Seers Isle	84.48%	10001100001000110000000000
Grotto	84.48%	10001100011000011100001000
Pig Eat Ball	84.48%	01110100010011100001000100
Lance A Lot: Enhanced Edition	84.48%	10110000000000000000000000
STRIKERS 1945 II	84.48%	00100000010001000000000101
Dab on Darkness!	84.48%	01011000000000000001000010
satryn deluxe	84.48%	11101000010001001000000101
The Journey - Episode 2: Words of Wisdom	84.48%	01000010100000000000000010
The Multi-Medium	84.48%	01011100011010111100000000
Slash It 2	84.47%	10110000000000000000000000
MURI	84.47%	10101000010001000001000000
Macbat 64	84.47%	10100100000000001001000000
Grapple Tournament	84.47%	00110000000000001000111101
Ero Manager	84.47%	00011001010000010101000010
Snowdome	84.47%	11010000001000010000001010
Worms Revolution	84.46%	00101001010000000000100000
Long Live Santa!	84.46%	10100000000001000010100000
The Designer's Curse	84.46%	10000000000000000000000000
Tzar: The Burden of the Crown	84.46%	00000001000000100000000000
Touhou Shoujo Tale of Beautiful Memories / ???????	84.46%	00000000000000000000000010
The Endless Empty	84.46%	10011100111010011000000000
EXCALIBURIAN!!	84.46%	01001100110001101111000010
BATTLE BEARS -1	84.46%	11111100000100010000000101
Adorable Girls	84.46%	01010110000010000000000010
Yes My Lord	84.46%	00001100110000111001000010
War of Rights	84.45%	10101011000000000000111001
Stories Untold	84.45%	10001100001010010000001000
Game Corp DX	84.45%	10011011010000000000010000
Stranded: Alien Dawn	84.45%	00001011000100000000010000
Perceptions of the Dead	84.45%	10010100000000000010000000
Dead Dungeon	84.45%	11001100010000000000000100
Unfortunate Spacemen	84.44%	00100001000000000010100001
Insurgency: Modern Infantry Combat	84.44%	00100011000000000010101001
Children of a Dead Earth	84.44%	10001011000000000000000000
Quake Mission Pack 2: Dissolution of Eternity	84.44%	00100000000000000000001001
Rewrite+	84.44%	00011110011000011000000010
EXIT 2	84.44%	11101100001001000010001000
Dissonance	84.44%	11011100101110000110000000
Draft of Darkness	84.44%	00001001000000000000010000
Love's Sweet Garnish 2	84.44%	10000000000000000000000000
Fi da Puti Samurai	84.44%	00100000000001000001011011
Gilded Shadows	84.44%	00110010010000010000000000
Gas Station Simulator	84.43%	10011010000000000000101000
Project Warlock	84.43%	10101000100001000000001001
Bardbarian	84.43%	10111101110000100000000000
Magicmaker	84.43%	10111100110000101100000000
Super Puzzle Platformer Deluxe	84.43%	10110000000011000000000100
Warplanes: WW1 Fighters	84.43%	00101010000000000000000100
The Chronicles of Nyanya	84.43%	10001100100001100001000000
Acron: Attack of the Squirrels!	84.43%	00100000000000000000100000
Yet Another Zombie Defense	84.42%	10111001000000000010100101
Port of Call	84.42%	10001100001000000010001000
Injustice&trade; 2	84.41%	00101000000000010000100100
Cyberdimension Neptunia: 4 Goddesses Online	84.41%	00101100100000100001100010
Marble World	84.41%	00011010000000001101000000
Songbird Symphony	84.41%	10001100011011010101000000
Heroes of Hellas 3: Athens	84.41%	10011101000010000000000000
Atari 50: The Anniversary Celebration	84.41%	00110000010001001100000100
The Gardener and the Wild Vines	84.41%	11001100000001011001000000
Beyond Eden: Dear Edward	84.41%	11001010010000000000000010
CHR$(143)	84.41%	11001110010011000000000000
Nekomancy	84.41%	01100001000100000001000001
Pair Of Stamps	84.41%	01010000011010001001000000
NieR:Automata&trade;	84.40%	00101100101000010000000010
Loading Screen Simulator	84.40%	11011010011011000010101000
realMyst: Masterpiece Edition	84.40%	10011100001010010100001000
Odallus: The Dark Call	84.40%	10101100010001000100000000
Bulb Boy	84.40%	10001100011010000001000000
The Body VR: Journey Inside a Cell	84.40%	10010010001000000110001000
These nights in Cairo	84.40%	10010000000000100000000000
Bomb Chicken	84.40%	10110100010001000000000000
Football Game	84.40%	00001100011001010000000000
Lenin - The Lion	84.40%	10001100100011010000000000
Mizuchi ????	84.40%	00000000010000000000000010
Dashing Fire	84.40%	11100100010000101001000100
GUNBIRD	84.40%	00100000010001000000000111
ESC	84.40%	11000000000000000000000000
The Blind Of The New World	84.40%	10011000000000000000000010
Island Diary	84.40%	10011000010000100001000010
Nebula	84.40%	11111011010001000100010101
Mess Quest	84.40%	11011010010001001000000000
Magic Axolotl	84.40%	11111000010000101001000100
Missing Translation	84.39%	10011100011011000010000000
Crash Drive 2	84.39%	00111000000100000100100100
GLASS	84.39%	10111100010010110000000010
Orion Sandbox Enhanced	84.39%	11110100110000000000000000
The Leisure of Grisaia	84.39%	00011100000000010001000010
Mr. Pumpkin 2: Kowloon walled city	84.39%	10010100000010000000000000
OneShot: Fading Memory	84.39%	10011100111011011101010000
G-Darius HD	84.39%	00101000000100000000000101
Grand Theft Auto III	84.38%	00101100001000010000100001
Evoland 2	84.38%	10101100111011110000000000
Pink Heaven	84.38%	10111000011001110011000101
The Frostrune	84.38%	00000100001010010000000000
YumeUtsutsu Re:Master	84.38%	00001100000000010001000010
????	84.38%	01000000000000000000000010
The Dandelion Girl: Don't You Remember Me?	84.38%	10000000000000000000000000
Active Neurons - Wonders Of The World	84.38%	11011000010010001110000100
Steel Salvo	84.38%	01101000000100001000001011
Intralism	84.37%	10111000000000000000100110
Sonicomi	84.37%	00011110000000010001001010
Vigil: The Longest Night	84.36%	00100000110000110000000000
Scrutinized	84.36%	10001010000100000000000000
Headcrab Frenzy!	84.36%	10111000000000000010101001
Neglected	84.36%	11011100100000000011000000
Beneath a Steel Sky	84.36%	10101100010011010010000000
TowerClimb	84.36%	10100100110001000000000000
CropDuster Supreme	84.36%	10110000000000000000000000
Muv-Luv photonflowers*	84.36%	00011100000000010000000010
MicroWorks	84.36%	10110000000000000000100000
Realm Grinder	84.35%	10011011110001100010100000
TRON 2.0	84.35%	00101100101000000000101001
Verdun	84.34%	00100011001000000000101001
DCS World Steam Edition	84.34%	00101011000000000010101001
Kingdom: New Lands	84.34%	10001111011001100100000000
HunieCam Studio	84.34%	10011011010000000001000010
Anna's Quest	84.34%	10000000000000000000000000
Puzzle Dimension	84.34%	10011000000010000000000000
The 25th Ward: The Silver Case	84.34%	00000100000000010000000000
LunarLux Chapter 1	84.34%	10100100100001000010000000
My Holiday 2	84.34%	11011000110000000001000010
INPUT6	84.34%	01101010001100000100001000
HipWitch	84.34%	11011100010010010100000000
Hand Simulator: Survival	84.33%	10101110100000000100101000
LEGO&reg; MARVEL Super Heroes 2	84.33%	00101100000010010000100000
EVERSPACE&trade; 2	84.33%	00101110001100010000010101
Strikey Sisters	84.33%	00100100010001101001000110
Foretales	84.33%	00001101101000110100000000
Root Double -Before Crime * After Days- Xtend Edition	84.33%	00001100001000010000000010
Blazing Aries	84.33%	00101100110000100000000010
Answer Knot	84.32%	11000000000000000010001000
Battle Bruise	84.32%	10100000000000000000000100
Age of Fear 3: The Legend	84.32%	00000001110000110000000000
Tinertia	84.32%	10100000000000000000000000
SLAMMED!	84.32%	10000000100000000000000000
Detective From The Crypt	84.32%	10010100011010000100000000
The Cyclist: Tactics	84.32%	00001001010000000000000000
International Space Banana	84.32%	00010100010000001000100000
NAIR	84.32%	11111000010000001001100100
Rail Route: The Story of Jozic	84.32%	01010010010010010000000000
??	84.32%	01000000010000000000000010
Regions Of Ruin	84.31%	10001100111001100100000000
GRANDIA II HD Remaster	84.31%	00001100100000110000000010
Disgaea 4 Complete+	84.31%	00001001100000110000000010
Alwa's Legacy	84.31%	10000000000000000000000000
BANG! BANG! Totally Accurate Redneck Simulator	84.31%	10110100000010000000100000
Wet steps	84.31%	01000100010000100001000010
Mythic Ocean: Prologue	84.31%	11000100001000000110000000
Open Brush	84.31%	01010000000000001010000000
The GoD Unit	84.31%	11001000000110000000001000
10mg :)	84.31%	11111000010011000001000000
Monster Bash HD	84.31%	00100100010001000100000000
Seiga Kaku uses her amazing Taoist arts and gives you a life lesson	84.31%	01011000010000001101000010
Vacant Kingdom	84.31%	01100100111011001001000100
Microsoft Flight Simulator X: Steam Edition	84.30%	00101111001000000000101000
Atelier Ryza: Ever Darkness &amp; the Secret Hideout	84.30%	00101100100000110101000010
The Two of Us	84.30%	11000001010011001011100000
Clue/Cluedo: The Classic Mystery Game	84.30%	00011001010110000000000000
The Mooseman	84.30%	10011100011010010000000000
Platypus	84.30%	00100000000000000000000100
OshiRabu: Waifus Over Husbandos	84.29%	00000100000000000001000010
Vampire: The Masquerade &mdash; Night Road	84.29%	10011100100000010000000000
Hargrave	84.29%	11010100000001000010000000
Zero G Arena	84.28%	10100000000000000000110000
Jivana	84.28%	01001100001100101100000000
Make Me LAG	84.28%	11100000000001000010000000
Ardor	84.28%	11011001010000000010000000
Fisher Online	84.27%	10000010000000000000010000
"I Have No Mouth, and I Must Scream"	84.27%	00001100010010010000000000
Dandy Ace	84.27%	10101000011000000000000000
Super Time Force Ultra	84.27%	00000001010011000000000101
Heart Fragment	84.27%	11001010100000110000000010
Meridian 157: Chapter 1	84.27%	10011100010010010100001000
Guns of Infinity	84.27%	10000100100000000000000000
Whateverland	84.27%	00010100001010010100000000
Conjury Revell	84.27%	01101000001100000010001001
MELTY BLOOD: TYPE LUMINA	84.26%	00101000010001000000100110
Myst	84.26%	10001100001110010100001000
AngerForce: Reloaded	84.26%	10000000000000000000000001
Quiplash 2 InterLASHional	84.26%	10010000000000000000000000
Foto Flash	84.26%	10001100010001000000000010
The Secret of Retropolis	84.26%	00000100000010010000001000
The Corruption Within	84.26%	11001100011011010100001000
Deponia: The Complete Journey	84.25%	10001100010010010000000000
MMORPG Tycoon 2	84.25%	10001011000000000000010000
Escape Memoirs: Mini Stories	84.25%	01011100001010000110100000
Tiny Room Stories: Town Mystery	84.25%	10001100001110001100000000
One Dreamer	84.25%	10011100011011010000000000
Helheim Hassle	84.25%	10000100000010010000000000
The Legend of Heroes: Ao no Kiseki KAI	84.25%	00001000100000010000000010
The Unluckiest Man	84.25%	11001100000100010110001000
Cliff Empire	84.24%	10001011000000000000000000
Death Squared	84.24%	10010000000010001000000000
Hellevator	84.24%	11001100011000000010000000
Pode	84.24%	10010100000010000001000000
Kairos'Light	84.24%	10000000000000000000000000
Flipon	84.24%	10011000010010001001100110
-SPROUT-	84.24%	11001100010011000001000000
Atopes	84.24%	11001000010000000010000000
LOVE 3	84.24%	00101000010001000100000000
Cut to the Core	84.24%	01011000010000010000000000
&quot;LIFE&quot; not found;	84.24%	11001010001010010100000010
Lost Lands: The Wanderer	84.24%	00010100000010000000000000
Grand Brix Shooter	84.24%	11110000000000000000000101
Space Docker VR	84.24%	10001010000000000000001000
Shin Megami Tensei III Nocturne HD Remaster	84.23%	00000000101000110000000010
Pocket Rogues	84.23%	10101000110001100000010000
Musaic Box	84.23%	10010000000010000000000000
Black Closet	84.23%	10001011110000010000000000
LEGO&reg; Harry Potter: Years 1-4	84.22%	00101100001010100000100000
Home Sweet Home	84.22%	10101100001010010000101000
WayOut	84.22%	10011001011011000000000000
Holopoint	84.22%	10100010000000000000000000
Angry Birds Space	84.22%	10111000010010000010000000
Just A Humble Swordsmith	84.22%	01011001010001100010000000
TOKOYO: The Tower of Perpetuity	84.22%	00101000010001000001000110
Sanator: Scarlet Scarf	84.22%	10000100001000110000000010
Gigapocalypse	84.22%	10111000010001001001000100
Rush Rally Origins	84.22%	00001010000100000000100100
Lupinball	84.22%	10110001000001000000100000
Sea Bubble	84.22%	11010000000000000000000100
FWsim - Fireworks Display Simulator	84.22%	00001010000100000000010000
Logic Light	84.22%	01011000011010001000001000
120 Yen Stories	84.22%	01011100110000010000000010
SPEARHEAD	84.22%	11111000010001000010000001
Fabular: Prologue	84.22%	11101100100001100000010000
Chess Survivors	84.22%	01100001110001000000010000
Ben and Ed - Blood Party	84.21%	10101000000000000000100000
The Black Watchmen	84.21%	10000100101010000000000000
Quantum Protocol	84.21%	00001001000010100000000010
Dragon Drop	84.21%	11110100000000001001110100
Run Zeus Run	84.20%	10110100000000000010000110
Battlezone: Combat Commander	84.20%	00101001000000000000101001
Terraformers: First steps on Mars	84.20%	00001011001000000000000000
Dungeon Master	84.20%	11111100101000010000000000
Giraffe and Annika	84.20%	00111100000100101101000010
A long Time	84.20%	01001000001100000100000000
Meridian 157: Chapter 2	84.20%	10011100010010010000001000
My Name is Mayo 3	84.20%	01001110000000010000000000
The Last Show of Mr. Chardish	84.20%	11111100001000010100000000
SNK VS. CAPCOM: THE MATCH OF THE MILLENNIUM	84.20%	00111000010001000001100010
Insurgency: Sandstorm	84.19%	10100010001000000000101001
The Deadly Tower of Monsters	84.19%	10101100000000001000000000
Bastard Bonds	84.19%	10001001100001100000000000
Worbital	84.19%	10101001010000000000100000
Dark Fantasy: Jigsaw Puzzle	84.19%	10011010111010100000000010
Epic Snails	84.19%	00100000000000000010110000
Spellbound Spire	84.19%	01011100000000000110000000
Tsuro - The Game of The Path	84.19%	00011001000110001000100000
Astebreed: Definitive Edition	84.18%	10101000000000010000000111
Iris and the giant	84.18%	10001001110000000000000000
EarthX	84.18%	10001011001100000001010000
Lust from Beyond: Prologue	84.17%	00001100000000000010001000
No Heroes Here	84.17%	10110111000001000000000000
Along the Edge	84.17%	10011100000000110000000000
Ginkgo	84.17%	01001100001010000000010000
Persian Nights: Sands of Wonders	84.17%	10011100011010110000000000
TOK	84.17%	11011000010010001001000000
We Need To Go Deeper	84.16%	00100110010000000100100000
The Infected	84.16%	10101010000100000100011000
Caveblazers	84.16%	00101100010001100000000000
Britannic: Patroness of the Mediterranean	84.16%	10010010100000000000000000
Game Dev Story	84.16%	10011011010001000001000000
The Durka: You will (not) die	84.16%	01100100010000100111010010
Booth: A Dystopian Adventure	84.16%	10000110011001010000000000
QUICKERFLAK	84.16%	01110000000001000000000000
Sabres of Infinity	84.16%	10000100100000000000000000
The Dawn of Art	84.16%	11000100000000000010000000
IRON GUARD VR	84.16%	10100001001100000000000000
Zork: Grand Inquisitor	84.16%	00000100000000000000000000
Swaps and Traps	84.16%	10101000011010000000000000
Super Glitter Rush	84.16%	11101000010001101001000001
Jelly Is Sticky	84.16%	10001001001010001001000000
Ghost Watchers	84.15%	00001100000010000000111000
Mother Russia Bleeds	84.15%	10100000011001000000100000
Lamplight City	84.15%	10001100011011010000000000
Max Payne 3	84.14%	00101100001000010000100001
The Final Station	84.14%	10101100011001010000000001
Fortress Forever	84.14%	10100000000000000010101001
MILFs of Sunville	84.14%	10010100000000010000010000
Rune Classic	84.14%	00101100100000100000100000
Caliban Below	84.14%	11011100001000010010100000
Macrotis: A Mother's Journey	84.14%	10000000000000000000000000
Acid Nimbus	84.14%	11100000000001000010000000
Sephonie	84.14%	10001100001110111100000000
Way To Yaatra	84.14%	11011100010000000010000000
Onde	84.14%	10011100001010001100000000
NARUTO TO BORUTO: SHINOBI STRIKER	84.13%	00101101100000000000100010
DEEMO -Reborn-	84.13%	00101100101110100000000010
Flightless Classic	84.13%	10000100000010000010000000
?? ????	84.13%	01000000010000000001000010
Suits: Absolute Power	84.13%	00101000111001110000000000
Plant Tycoon	84.13%	00011010000000000000000000
Tree Simulator 2021	84.13%	11110110000000000000000000
Dap: Prologue	84.13%	11101100011001001101000000
Atomic 79	84.13%	10100000000001000000000001
Dap	84.13%	00101100011001001001000000
Loretta	84.13%	10011100000001010000000000
Egression	84.13%	00001100001010000100001000
What Lies in the Multiverse - Prologue	84.13%	01101100000011011100000000
The Space-Eating Croc	84.13%	11001100011011010000010000
BVOVB - Bruising Vengeance of the Vintage Boxer	84.13%	11101000010000000000000000
ARCADE GAME SERIES: GALAGA	84.12%	00101000010001000000000101
Death Rally (Classic)	84.12%	00100000010000000010000100
SCP Strategy	84.12%	00000011000100000000000000
Lost Horizon	84.12%	00000100010010010000000000
Gachimuchi Reloaded	84.12%	10111110000000010000000000
The Mind of Marlo	84.12%	10001100010011010000000000
Late Shift	84.11%	10001110001000010000000000
Shantae: Half-Genie Hero Ultimate Edition	84.11%	10101100010000000001000010
Fly Punch Boom: First Impact!	84.11%	11101000010000000010100110
Frightened Beetles	84.11%	10010100000000000010000000
Unusual Findings	84.11%	00000100011011011000000000
Super Woden GP	84.11%	10001000010000001000100100
Need for Speed&trade; Payback	84.10%	00101011001000000000101100
Escape the Backrooms	84.10%	10111100000100000100111000
Bing Bong XL	84.10%	10111000010000000000000100
Space Impossible	84.10%	10100100000001000000010000
Unitied	84.10%	11011001011010000000000000
The Elevator Game with Catgirls	84.10%	11011000001000000000000010
---Red---Tether--&gt;	84.10%	11101000010011000000000000
Light Maze	84.10%	11011000001110001100000100
Sweety Kitty 2	84.10%	01011000000010000001000000
Iconoclasts	84.09%	10101100010011011101000000
Ghost Exile	84.09%	10101000001100000000111000
Sackboy&trade;: A Big Adventure	84.09%	00101100000100000001100000
Angry Video Game Nerd II: ASSimilation	84.09%	10101100010001000000000000
Snail Trek - Chapter 1: Intershellar	84.09%	10000100010011000000000000
Changeling	84.09%	10010010000000110000000000
Frozen Memories	84.09%	11011110010000010000000010
Teocida	84.09%	00100100011011000000000000
Kimagure Temptation	84.09%	00001100000000000001000010
Curse of the Dead Gods	84.08%	10101100000100100100000000
AHEGAL	84.08%	00111000000000001001000111
Battle Academy 2: Eastern Front	84.08%	00001001000000000000100000
Mokoko	84.08%	10101000010010011000000110
Repetendium	84.08%	10101100010001000000010000
Chicken Bomb	84.08%	01101100100100101000000100
Monster Girl Manager	84.08%	00011001110001101001010010
Elec Dude	84.08%	11011000010011000011000100
Quake Live	84.07%	00100000001000000000101001
Stoneshard: Prologue	84.07%	10100100100000100010100000
Gunlocked	84.07%	00101000110001000000000101
Camp Sunshine	84.07%	10110100000001000000000000
Hello Neighbor Alpha 4	84.06%	10101101000110010010001000
Takoyaki Party Survival	84.06%	10011010000100000000100000
Metamorphabet	84.06%	10010000000000000000000000
The Pilgrim	84.06%	11101100100110000010000000
Grisaia Phantom Trigger Vol.6	84.06%	00111100000000010001000010
Lapin	84.06%	10011100011000011101010000
Fishing Planet	84.05%	00111110000000000010101000
Wet Girl	84.05%	10011100100000000000000010
Trials of Fire	84.05%	00000001110100010000000000
Catacomb Kids	84.05%	10100000110001000000010000
Goonect	84.05%	01110000001000001011100010
come see my hole	84.05%	01011000001100001000101000
Desert Bus VR	84.04%	00110011000000010010100000
Crashday Redline Edition	84.04%	00111000001100001000100100
Say No! More	84.04%	10111100000001001001000100
Beyond a Steel Sky	84.04%	10101100000010010000000000
50 years	84.04%	10011011000000100000010000
????? ? Abyss Soul Lotus.	84.04%	00000000010000000000000000
Lycanthorn II - Rain of Beasts	84.04%	11101100000101001010000001
DARK SOULS&trade; II: Scholar of the First Sin	84.03%	00101100101000110000100000
Rabbit Burn	84.03%	10111000000110000001000110
Outcast 1.1	84.03%	00101100101000000000000000
Disneyland Adventures	84.03%	00111100000000100001000000
I Am Sakuya: Touhou FPS Game	84.03%	00101000011001001001001011
Night Reverie: Prologue	84.03%	11011100011011011111000000
Golden Hornet	84.03%	10100000010001000010000001
Sora no Ao to Shiro to	84.03%	00011000000000010001000010
Giants: Citizen Kabuto	84.03%	00101100100000101000100000
Kittens and Yarn	84.03%	01011000011010001001000000
Projections	84.03%	01101000000000001000000100
Rob Riches	84.03%	11011101001110000100000000
Employee of the Month	84.03%	01000100001010000100001000
Zetria	84.02%	00110100011011000001000000
The Sekimeiya: Spun Glass	84.02%	10001100011000010000000010
Stealth Bastard Deluxe	84.01%	10101000010011000000000000
Crash Bandicoot&trade; 4: It&rsquo;s About Time	84.01%	00101100000100001000000000
Sam &amp; Max 301: The Penal Zone	84.01%	00101100000000010000000000
??????	84.01%	00000000010000000000000010
WAGAMAMA HIGH SPEC	84.01%	00011100000000010001000010
S.U.M. - Slay Uncool Monsters	84.01%	11011000010011000010000100
Epics of Distant Realm: Holy Return	84.01%	01000100111000100000000000
Space Quest: 2099	84.01%	01100100000100001000001001
Cute Cats 2	84.01%	01011000000010001001000000
Visage	84.00%	10001110001000010100111000
